ID;Дата создания;Заголовок;Анонс;Текст;Дата;Источник
47459;;Стоп повышению цен! ;Лечимся разумно! ;Мы вынуждены Вас ОБРАДОВАТЬ!   Повышение цен на услуги клиники пока не планируется. Не секрет, что стоимость медицинских услуг во многом зависит от стоимости расходных материалов и медицинских препаратов. Мы смогли договориться с поставщиками о сохранении цен на уровне 2016 года. ;;
47457;;Получите свою квоту на ЭКО;Продолжается выдача направлений в Минздраве РБ;Уважаемые пациенты, сдавшие документы на постановку в лист ожидания в 2016 на проведение ЭКО по квоте (бесплатно)! В Министерстве здравоохранения РБ продолжается выдача направлений на получение медицинских услуг по программе государственных гарантий. Перед визитом в Минздрав, необходимо получить справку от своего репродуктолога. Поэтому приглашаем Вас на бесплатный визит к врачу для получения справки. Телефон для записи на прием 8 800 775 6969. Ждем Вас! ;;
47233;;Нужен врач УЗД;На постоянную работу;Друзья! Нам нужен еще один врач ультразвуковой диагностики.  На постоянную работу с посменным графиком, заработная плата от 70.000 руб.  Мы растем, пациентов все больше и больше.  Ищем доктора, имеющего опыт работы на УЗИ-аппарате Voluson, сертификат FMF, действующий сертификат врача по специальности УЗД, квалификационную категорию врача не ниже ПЕРВОЙ - добро пожаловать!  Работы много, компенсация соответствующая опыту и квалификации.  Место работы: филиалы на Зорге, 75 и на Кирова, 52, по графику.  Ждем резюме на эл.почту ufadoctor.adm@mail.ru  Подробности на собеседовании.     ;;
47232;;Нужен провизор;На постоянную работу;  На постоянную работу в филиале на Кирова, 52 требуется провизор.    Требования: наличие действующего сертификата по специальности «провизор», опыт работы провизором в медицинском учреждении (не в аптеке) от 1 года.    Условия: график работы 5/2    Заработная плата от 20 т.р (аванс+расчет).    Функционал - обработка первичной документации (без продаж).    Подробности при собеседовании.    Ждем Ваше резюме на эл.адрес ufadoctor.adm@mail.u    ;;
46980;;Ваш верный врач! ;Олеся Сергеевна Филиппова начинает прием;"Олеся Сергеевна Филиппова, так полюбившийся многим врач акушер-гинеколог, репродуктолог продолжает прием в клинике ""Здоровье женщины и мужчины"".   К этому доктору можно обратиться с вопросам диагностики и лечения гинекологических заболеваний, и с вопросом обследования пары и проведения лечения бесплодия с помощью программ ЭКО.   Запись на прием по тел.8 800 775 6969";;
46858;;У вас БУДЕТ ребенок! ;10 циклов ЭКО в подарок Вам - в год десятилетия клиники ;"Друзья, коллеги, партнеры!   Поздравляем Вас с наступающим Новым 2017 годом! Пусть Новый год принесет только позитивную информацию!  А успех сопутствует каждому Вашему начинанию!   Наше традиционное пожелание от специалистов клиники ""Здоровье женщины и мужчины"" : Желаем каждому человеку услышать заветные слова: -У Вас БУДЕТ ребенок! Всегда ваша, клиника ""Здоровье женщины и мужчины""   Нам в 2017 г - 10 лет! Мы работаем для Вас!   ЭКО по квоте ОМС в 2017г. http://www.eko-rb.ru/eko-po-oms/   ЭКО в подарок http://www.eko-rb.ru/uslugi/eko-v-podarok/   ЭКО-пакет ""Молодая семья"" по фиксированной цене http://www.eko-rb.ru/uslugi/eko-paket-molodaya-semya/    ";;
46780;;График работы в каникулы;В дни январских каникул мы ждем вас: ;"Друзья!   В дни январских каникул сеть клиник работает в следующем режиме:   31 декабря, 1,2,7,8 января &ndash; выходной во всех филиалах.   Филиал на Кирова, 52 работает: 3,4,5,6 января с 8 до 14 ч.   Филиал на ул. Г. Кусимова, 15/1 (Дема) работает: 4,5,6 января с 8 до 14 ч.   Филиал на Р. Зорге, 75 (Горсовет) работает: 4,5,6 января с 8 до 14 ч.   Просим уточнять наличие врачей и возможность сдать те или иные анализы по тел. 8 800 775 6969,   или оставляйте свои вопросы на сайте www.eko-rb.ru   Контакт-центр клиники работает каждый день, кроме 1 января.   А далее, с 9 января мы вас ждем как обычно, с 8 до 20 ч.    ";;
46596;;Как получить ЭКО в подарок? ;10 циклов ЭКО - в год десятилетия клиники;"Друзья! Информация о благотворительном мероприятии ""ЭКО в подарок"" размещена на сайте клинике здесь.&nbsp;  ЖДЕМ Ваши анкеты!&nbsp;";;
46522;;ЭКО - в подарок! ;Юбилей у нас, а подарки-Вам! ;"Юбилей у нас, а подарки-Вам!&nbsp;    Уважаемые пациенты, настоящие и будущие!   В 2017 году клиника ""Здоровье женщины"" отмечает свой юбилей - 10 лет с момента основания.   Мы благодарим Вас, что Вы доверили специалистам клиники самое дорогое, что у вас есть - свое здоровье.   Поэтому в год десятилетия клиника подарит Вам 10 циклов ЭКО.   Подробная информация о возможности получения подарка будет опубликована на нашем сайте, в социальных сетях чуть позже.   Следите за новостями! ";;
46440;;Мамы разные нужны! ;Мамы всякие важны! ;Материнство - самое главное предназначение женщины.   Пусть в каждом доме, в каждой семье звучат счастливые детские голоса, а взрослые детки - радуют своими успехами!             ;;
46327;;Бесплатный прием репродуктолога. Запишитесь!  ;Узнайте подробности бесплатной консультации;"&nbsp;  В связи с тем, что изменились правила подачи заявлений на постановку в реестр ожидания по проведению ЭКО по полису ОМС возникает много вопросов. Для разъяснения информации пригашаем Вас на  БЕСПЛАТНУЮ консультацию врача репродуктолога  &nbsp;  На бесплатной консультации Вы сможете задать вопрос врачу:   1.Как оформить документы для постановки в реестр ожидания на проведение ЭКО по ОМС.  2.Как отслеживать движение очереди.  3.Как выбрать медицинское учреждение для проведения ЭКО по полису ОМС.   4.Как и где провести обследование супругов для проведения ЭКО по полису ОМС.   5.Как выбрать метод лечения.  6.Какие альтернативные методы лечения могут быть применены, если вы не хотите ждать очередь на ЭКО по ОМС. Например: подходит ли вашей паре ЭКО-пакет &laquo;Молодая семья&raquo; и т.п.  &nbsp;  График бесплатных приемов:  У врача Гараевой Г.В. &ndash; четверг с 10 до 11 ч., суббота с 12 до 13 ч.  У врача Лозовой Е.В. &ndash; среда с 18 до 19 ч., суббота с 12 до 13 ч.  У врача Силиной Н.С. &ndash; четверг с 18 до 19 ч., суббота с 12 до 13 ч.  Запись на прием на сайте клиники www.eko-rb.ru   или по тел.8 800&nbsp;775 6969  &nbsp;  Просим обратить внимание: на бесплатной консультации репродуктолога  осмотр пациентки в кресле и УЗИ-мониторинг НЕ проводятся.";;
46115;;Гинеколог-эндокринолог ведет прием ;в филиале на Зорге;Дамы!  Нели Сергоевна Марукян, врач акушер-гинеколог, эндокринолог, ведет прием в филиале на Зорге, 75.  Если вас тревожит:  -увеличение массы тела  -усиление волосяного покрова на лице (усики)  -сбой цикла или  -если вы планируете беременность  -хотите выбрать контрацептив  -пройти профилактический осмотр  ДОБРО ПОЖАЛОВАТЬ в филиал клиники на ЗОРГЕ, 75. Телефон для записи на прием 8 800 775 6969. Ждем Вас!;;
45365;;Мир вашему дому! ;12 сентября - Курбан-байрам;"Уважаемые жители Республики Башкортостан!&nbsp;  Поздравляем Вас с праздником Курбайн-байрам!   Мира вашему дому и благополучия в семье!   В связи с выходным днем 12 сентября филиалы на Кирова, 52 и Зорге, 75 работают до 14.00, прием анализов с 8 до 10. Филиал в Деме на Кусимова не работает 12 сентября. Телефон для записи на прием 8 800 775 6969.";;
44888;2017-08-25 15:22:38;Филиалы на Зорге,75 и Ген.Кусимова, 15/1 ;Рациональный бюджет на проведение обследования ;"Если вы планируете обследование у гинеколога, то можно воспользоваться комплексными приемами, которые дадут полноценную картину Вашего состояния здоровья и в то же время позволят рационально спланировать расходы.&nbsp;    Комплексный прием вариант 1:  УЗИ малого таза + консультация гинеколога = всего 1900 руб. (вместо 2200 руб.)   (анализы и кольпоскопия оплачиваются отдельно)  &nbsp;  Комплексный прием вариант 2:   УЗИ молочных желез+ УЗИ малого таза+   конультация гинеколога+кольпоскопия+   мазок на ст.чистоты и онкоцитологию = всего 3.320 руб. (вместо 4.150 руб.)   &nbsp;  ПРИЕМ ВЕДУТ:  врачи акушеры-гинекологи   Дина Ильдаровна Мусина (посмотреть график работы)&nbsp;  Альфия Франсевна Кашапова&nbsp;&nbsp;(посмотреть график работы)&nbsp;  &nbsp;  в филиалах на: Зорге, 75 (ост.Горсовет)   Ген. Кусимова, 15/1 (Дема)   Запись на прием по тел. 8 800 775 6969";;
44781;;Гиалуронку туда тоже колят? ;Да, гиалуронка - для женского здоровья! ;"Нехирургическая (инъекционная) коррекция тканей интимных зон у женщин (половых губ, вульвы, уретры) при появлении возрастных или послеродовых изменений проводится с помощью инъекций препарата, содержащего гиалуроновую кислоту. Это препарат REVANESSE - высоковязкий монофазный биодеградирующий гель с высокоочищенной гиалуроновой кислотой неживотного происхождения.  Показаниями к проведению коррекции считаются:-ассиметрия или внешняя деформация половых губ;-начальные признаки стрессового недержания мочи;-начальная стадия опущения стенок влагалища;-повышенная сухость влагалища;-дефекты промежности, в т.ч. ""зияющая"" половая щель;-недостаточный объем половых губКоррекция тканей препаратом REVANESSE является одним из самых эффективных методов устранения перечисленных недостатков. Благоприятное воздействие оказывается и на интимную жизнь женщины, усиливаются ощущения во время половой близости. Кроме того, этот метод оказывает общее омолаживающее воздействие на ткани интимных зон.Как работает препарат?Препарат REVANESSE c помощью специального шприца вводится в глубокие слои тканей проблемных зон. Такой метод гарантирует положительный результат, не провоцируя осложнений. Введенный препарат заполняет ткани, притягивает к себе молекулы воды, которые и создают необходимый объем и увлажненность тканей, попутно улучшая и состояние покровов. Эффект при применении препарата REVANNESSE длится около 12 месяцев. Подготовка к процедуре:Первым делом - выбор специалиста. Процедуру должен проводить только врач гинеколог, с которым заранее надо обсудить необходимость применения такого метода, определить зону проведения процедуры, обсудить противопоказания, исключить вероятность осложнений. А также необходимо сделать УЗИ малого таза, анализ мазка на степень чистоты, наличие АТК, анализ крови на RW, ВИЧ, гепатиты В и С. Как проводится процедура? Процедура проводится в кабинете гинеколога. Основные манипуляции занимают 30-40 минут, местное обезболивание обязательно. В первые часы после процедуры возможно появление отечности или покраснения тканей, легкого зуда<";15.02.2017;
44737;;Привычное невынашивание;Не приговор. Есть решение! ;"Если вы столкнулись с такой проблемой - привычное невынашивание беременности, важно знать - только тщательное обследование обоих супругов/партнеров поможет решить этот вопрос и получить здоровую полноценную беременность.   Полная информация - в статье на сайте клиники.  Прием по этому вопросу ведет врач акушер-гинеколог, репродуктолог Дина Ильдаровна Мусина во всех филиалах клиники.&nbsp;  Телефон для записи на прием 8 800 775 6969.&nbsp;";;
44733;;О чем не говорят мужчины? ;О проблемах в здоровье мужчин;"Врач уролог для мужчины - друг, товарищ и брат. Это специалист, который знает все мужские секреты.  Максимально результативно разобраться в мужских секретах поможет диагностическая консультация врача уролога, состоящая из трансректального УЗИ предстательной железы и консультации уролога.&nbsp;  Также, для диагностики проблем моче-половой системы мужчин полезную информацию дает урофлоуметрия - оценка качества мочеиспускания с помощью специального аппарата урофлоуметра (проводится на полный мочевой пузырь).&nbsp;  Да, немного неприятно проводить трансректальное УЗИ простаты, к этому исследованию надо подготовиться специально. Как подготовиться? Информация по ссылке&nbsp;  Но, если мужчина чувствует недомогание (снижение потенции, частые позывы к мочеиспусканию, ухудшение качества спермы), то ТРУЗИ и урофлоуметрия даст наиболее точную диагностику.  Итак, диагностический прием уролога и урофлоуметрию можно пройти в филиалах клиники на ЗОРГЕ, 75 и в Дёме на Кусимова, 15/1.  Врачи урологи - Тарас Васильевич Рябуха, Александр Борисович Шенбергер, Ильдар Марсович Насибуллин ждут Вас.  Тел.для записи на прием 8 800 775 6969.&nbsp;";;
44702;;Анестезиолог-реаониматолог, отзовись! ;Есть работа! ;"Друзья! В клинику нужен АНЕСТЕЗИОЛОГ-ДЕЖУРАНТ для работы в стационаре клиники ""Здоровье женщины и мужчины"" на Кирова, 52   Время работы: с 16.00 до 8.00 следующего дня.   Ждем Ваше резюме с телефоном для связи по эл.почте ufadoctor@mail.ru или сообщением в личку Ирине Николаевне Минаевой, специалисту отдела кадров.";;
44661;;Скидку надо? ;Запишись на вторник на УЗИ;Каждый вторник с 9 до 13 ч. в филиале на Кирова, 52  на УЗИ малого таза, молочных желез, брюшной полости и почек  СКИДКА 18%   УЗИ проводит врач УЗД Шарафутдинова М.Ю.  Необходима подговка.  Справки по тел.8 800 775 6969      ;;
44619;;В Дёме-экономия семейного бюджета!  ;Акция в Дёме! ;"УЗИ малого таза+консультация гинеколога по любым вопросам = всего 1900 руб.  Прием ведут врачи гинекологи: Альфия Франсевна Кашапова и Дина Ильдаровна Мусина.  P.S.визит к гинекологу и на УЗИ надо планировать в первую фазу цикла, сразу после окончания выделений.  Адрес филиала: Кусимова, 15/1, мкр.""Серебряный ручей""  Тел.для записи на прием 8 800 775 6969 или online запись на сайте www.eko-rb.ru";;
44572;;Сложная беременность? Есть доктор! ;Знакомьтесь - Антон Васильевич Масленников;Специалист по выявлению рисков возникновения осложнений во время беременности, врач акушер-гинеколог, к.м.н. Антон Васильевич Масленников ведет прием в филиале на Зорге, 75.  В каких случаях необходима консультация такого специалиста?   Существует «группа риска» при беременности – это женщины с гипертонической болезнью, артериальной гипотензией, варикозным расширением вен, пороками сердца, бронхиальной астмой, пиелонефритом, сахарным диабетом и рядом других хронических заболеваний различных систем и органов. Дополнительный фактор риска – возраст женщины. Беременность после 35 лет может сопровождаться осложнениями.  Именно в этих случаях требуется повышенное внимание врача, специализирующегося в вопросах выявления патологий или рисков возникновения патологий.   Тел.для записи на прием 8 800 775 6969;;
44504;;Удобно! К врачу-в воскресение!;Воскресение - рабочий день! ;"Уважаемые пациенты!   Филиал на Зорге, 75 теперь открыт для Вас и в воскресение - с 8 до 14 ч.  В этот день можно сделать УЗИ (малого таза, молочных желез, щитовидной железы, ТРУЗИ, брюшной полости, почек, мочевого пузыря и, конечно же, по беременности).&nbsp;  И посетить врача гинеколога с любым вопросом.&nbsp;  Телефон для записи на прием 8 800 775 6969. Ждем Вас!&nbsp;";;
44171;;Кислород нужен всем! ;Будьте здоровы! ;"Празднуем День защиты детей вместе!    С 1 по 4 июня мы дарим кислородные коктейли совершенно БЕСПЛАТНО!*    *Что нужно сделать?  - встретить промоутера клиники «Здоровье женщины» 1 июня в парке «Волшебный мир»;  - получить у него флаер;  - заглянуть в филиал клиники на Зорге 75, который расположен тут же, в 3-х минутах ходьбы и забрать свой вкусный животворящий коктейль!";;
44031;;ЭКО в России - 30 лет! ;Вы мечтаете о малыше? Тогда Вам к нам! ;"В этом году исполняется 30 лет милой девушке Елене Донцовой, которая родилась в результате первого применения программы ЭКО в России. За это время изменилось многое - усовершенствовалось оборудование, препараты, сократились сроки на обследование. Изменилось отношение людей к вопросу лечения бесплодия. Сегодня ЭКО можно сделать практически в любом крупном городе РФ.&nbsp;   В статье по ссылке выложена информация, которая поможет Вам узнать больше об этой медицинской услуге и настроиться на результат.&nbsp;      &nbsp;    &nbsp;";;
43884;;УЗИ при беременности;Когда? ;"    Сегодня ультразвуковая диагностика позволяет проводить максимально качественные исследования во время беременности. Представляем Вашему вниманию наглядную схему проведения УЗИ в самый счастливый период жизни женщины.&nbsp;&nbsp;          Первое обращение в клинику для проведения УЗИ по беременности надо сделать не ранее чем спустя 5 дней задержки месячных, желательно предварительно сделать анализ крови на содержание ХГЧ (гонадотропин человеческий), т.к. именно этот анализ даст однозначный ответ о наличии беременности.&nbsp;&nbsp;  Второе посещение кабинета УЗИ по беременности желательно сделать в 7-10 недель для определения эмбриона и его сердцебиения. А также для уточнения срока беременности по размеру эмбриона.&nbsp;  Обязательным УЗИ для всех беременных является срок 12-14 недель.Это первый скрининг. Цель исследования на этом сроке - исключение скелетной патологии, выявление риска возникновения синдрома Дауна, Эдвардса, Патау и некоторых других заболеваний. В комплексе с биохимическим скринингом (анализом крови на РАРР-а белок и b-хгч) достоверность такой диагностики достигает 98%.&nbsp;&nbsp;  На первом скрининге (12-14 недель) производится: &nbsp;    выявление грубых врожденных пороков развития (центральной нервной системы и редукционные пороки);  выявление УЗ маркеров хронической патологии плода: расширение воротникового пространства и отсутствие носовой кости;    На втором скрининге, на сроке 20-22 недель беременности производится:&nbsp;    УЗ оценка развития плода и соответствие сроку беременности (фетометрия)  УЗ оценка развития плаценты и количества околоплодных вод;  Выявление пороков развития всех органов.    Общий план проведения УЗИ во время беременности:&nbsp;  5-6 нед. &nbsp;- подтверждение беременности;  7-10 нед. &nbsp;- выявление эмбриона, его сердцебиение, уточнение срока беременности;  12-14 нед. &nbsp;- I скрининг: диагностика синдрома Дауна, Эдвардса, Патау (в комплексе с биохимическим скринингом); скелетной патологии;  16-18 нед. &nbsp;- УЗИ контроль длины шейки матки, выявление ИЦН (истмико-цервикальной <";;
43820;;Майские каникулы;График работы на майские праздники;"Уважаемые пациенты!  Поздравляем Вас с майсикими праздниками! Желаем Вам весеннего настроения и крепкого здоровья!  Просим Вас заранее спланировать визиты в клинику и записаться на приемы:  1 и 9 мая - нерабочие дни.  &nbsp;  2 мая ведет прием филиал на Кирова, 52 &nbsp;- с 8 до 14 ч.  3 мая ведут прием все филиалы с 8 до 20 ч.  4,5,6 мая - ведут прием все филиалы с 8 до 20 ч.  7 мая ведут прием все филиалы с 8 до 16 ч.  8 мая ведет прием филиал на Кирова, 52 - с 8 до 14 ч.  &nbsp;  Телефон для справок 8 800 775 6969&nbsp;";;
43686;;УЗИ простаты-врач мужчина;У мужчин свои секреты!;Теперь новость для мужчин - в филиале на Зорге, 75 ведет прием врач врач уролог Тарас Васильевич Рябуха. Диагностический прием включает - проведение трансректального УЗИ простаты, осмотр, беседу, назначение в случае необходимости лабораторных исследований и назначение лечебной терапии.  Записаться на прием и узнать как подготовиться к ТРУЗИ вы сможете по тел.8 800 775 6969.;;
43652;;Наши результаты! ;Опубликованы данные по результативности. ;Уважаемые пациенты!   На сайте клиники опубликованы данные по результативности проведения программ ВРТ за 2015 в сравнении с 2014. А также - итоги по 1-му кварталу 2016г.  Информация ЗДЕСЬ;;
43531;;Поход на фотовыставку;Приглашение;Сегодня состоялось открытие «Недели здравоохранения» на ВДНХ ЭКСПО. В рамках форума открыт стенд с фотографиями «Линия жизни», инициированный НП «Медицинская лига РБ».    Фотографии особенные, так как сделаны в моменты зачатия и рождения, в важные мгновения работы врачей в операционной. Наша фотовыставка о том, с какой ответственностью работают люди в медицине.    Рустэм Закиевич в своем выступлении отметил необходимость непрерывного образования в медицине, престиж работника здравоохранения. Также подчеркнул важность ведения разъяснительной работы с населением. И сказал, что сегодня в наших руках есть все ресурсы для поднятия авторитета и значимости врача.     На площадке Башкирской Выставочной Компании всегда тепло и радушно принимают как высоких гостей, так и всех жителей города. Ждем вас с 12 по 15 апреля на выставке.     НП «Медицинская лига РБ» и клиника «Здоровье женщины» благодарит компанию БВК за возможность размещения фотовыставки и сотрудничества.     Приходите на выставку, учитесь и помните про заботу о вашем здоровье, ведь  здоровье - это состояние ума. ;;
43327;;Дышите глубже!;Кислород полезен всем! ;"ЗАРЯДИСЬ ЭНЕРГИЕЙ КИСЛОРОДА!   Если вы ощущаете состояние усталости, апатии, бессилия - значит организму не хватает кислорода!   В филиале на Кирова, 52 есть возможность подзарядиться!   Особо полезен кислород детям и беременным женщинам.  Рекомендации по применению: 1 порция кислородного коктейля или 1 сеанс дыхательной терапии (10 минут) в день  Продолжительность &ndash; 10 дней  Приезжайте!&nbsp;";;
43181;;Работаем всю неделю! ;Воскресение - рабочий день! ;Уважаемые пациенты!   С 1 апреля 2016 г. филиал клиники на КИРОВА, 52 работает ВСЮ НЕДЕЛЮ!  По воскресениям Вы сможете:  1. сдать анализы (с 8 до 10 утра)   2. сделать УЗИ (подробности по телефону)   3. посетить врача гинеколога   график работы филиала на Кирова, 52:   пон.-пят. – с 8 до 20 ч.   суб. – с 8 до 16 ч.   воскр- с 8 до 14 ч.   анализы пон.-суб. – с 8 до 10 ч. утра   воскр. – с 8 до 10 ч. утра   филиалы на Зорге, 75 и на Г.Кусимова, 15/1 работают:   пон.-пят. - с 8 до 20 ч.   суб. - с 8 до 14 ч.   анализы – пон.-суб. с 8 до 10 утра   единый номер телефон для записи на прием в любой филиал 8 800 775 6969;;
42995;;Важно: лапароскопия и ЭКО;Почему лапароскопия бывает столь необходима перед ЭКО? ;"На самом деле, почему? Как разобраться во всех тонкостях своего здоровья и принять правильное решение, которое приведет наконец, к желаемому результату - долгожданной беременности?  В своей практике врачу репродуктологу приходится часто отвечать на вопросы пациенток по поводу необходимости лапороскопической операции перед проведением программ ЭКО. Ответ на этот вопрос в статье по ссылке, а именно: &nbsp;в каких случаях НЕОБХОДИМО сначала провести оперативное вмешательство, и что может предложить клиника ""Здоровье женщины"", чтобы сделать этот процесс максимально качественным и в то же время экономным.";;
42790;;Весна, время обновления! ;Что надо сделать в марте? ;"Девочки, они такие девочки!   План на март:   1.Порадоваться первому дню весны.   2.Поймать снежинку (а то и толпу снежинок) во время последнего!!! (точно?) cнегопада сезона 2015-2016 г.   3.Попросить прохожего мужчину помочь вытолкать машину во время последнего !!! в этом сезоне снежного заноса.   4.Принять поздравления с 8 Марта от любимого, коллег по работе и всех друзей.   5.Весело провести выходные (целых 4 дня).   6.Вспомнить о том, что прошел год с момента последнего визита к врачу гинекологу.   Позвонить в клинику ""Здоровье женщины"", т.8 800 775 6969, узнать обо всех акциях, записаться на УЗИ и к врачу, узнать про анализы.        Что-то еще... ах да))) девушки, с праздником нас!!! Милых, задорных, любимых, веселых, шаловливых, обоятельных и привлекательных !   Всем любви и радости! Вдохновения и процветания!    ";;
42786;;График работы в праздничные дни;Во время мартовских праздников;"Уважаемые пациенты!   В праздничные дни в марте филиалы клиники работают в следующем режиме:   5 марта: все филиалы с 8 до 13 прием анализов до 10 ч.   6 и 8 марта - выходные во всех филиалах  &nbsp;  7 марта: клиники на Кирова,52 и на Зорге, 75 с 8 до 14 ч.,   прием анализов до 10 ч.   филиал на Кусимова, 15/1 - выходной  &nbsp;  Просим Вас скорректировать свои планы заранее!&nbsp;";;
42774;;Внимание! Внимание! ;Изменение стоимости услуг;"Уважаемые пациенты! Мы очень долго откладывали этот момент. Но сейчас уже эти меры неизбежны. В связи с ростом цен на расходные материалы, мы вынуждены поднять цены на медицинские услуги. Итак, с 1 апреля 2016г. во всех клиниках сети будет изменена стоимость на:  -амбулаторные консультации специалистов;  -программы наблюдения беременности;  -некоторые виды медицинских услуг в отделении вспомогательных репродуктивных технологий;  -анестезиологическое пособие; -лечебные процедуры в гинекологии, урологии, проктологии;  -методы функциональной диагностики;  -ультразвуковые исследования;  -лабораторные исследования.  &nbsp;  С уважением, администрация клиники";;
42724;;Расписание на март;Внимание, изменения в расписании! ;Уважаемые пациенты!  Обратите внимание, изменилось расписание приема специалистов во всех клиниках сети. А телефон для справок и записи на прием прежний - 8 800 775 6969.  Наши милые сотрудницы coll-центра ответят на все ваши вопросы. ;;
42697;;Комплекс ежегодного обследования - всего 3.000 руб.;Весенняя акция! ;АКЦИЯ!!! АКЦИЯ!!! АКЦИЯ!!!   Только один месяц!   Комплексная программа ежегодного осмотра для женщин:   УЗИ малого таза и молочных желез,   консультация врача гинеколога с кольпоскопией,   исследование мазков на степень чистоты и онкоцитологию.   * Данное обследование способствует выявлению рисков возникновения онкологических или воспалительных заболеваний у женщин.   Стоимость программы по акции - 3.000 руб. (с 01 по 31 марта), вместо 3.580 (по прайсу).   Обследование проводит врач акушер-гинеколог и ультразвуковой диагностики -   АЛЬФИЯ ФРАНСЕВНА КАШАПОВА.   Прием по акции проводится в филиале на ул.Генерала Кусимова, 15/1 (Дема, мкр.Серебряный ручей).   Телефон для справок и записи на прием 8 800 775 6969. *обследование женщинам рекомендуется проводить в первой фазе цикла, сразу после окончания мес., т.е. на 5-11 день.;;
42696;;Комплекс ежегодного обследования - всего 3.000 руб.;Весенняя акция! ;АКЦИЯ!!!  АКЦИЯ!!!  АКЦИЯ!!!  Только один месяц!   Комплексная программа ежегодного осмотра для женщин: УЗИ малого таза и молочных желез, консультация врача гинеколога с кольпоскопией, исследование мазков на степень чистоты и онкоцитологию. *  Данное обследование способствует выявлению рисков возникновения онкологических или воспалительных заболеваний у женщин.    Стоимость программы по акции - 3.000 руб. (с 01 по 31 марта)  Обследование проводит врач акушер-гинеколог и ультразвуковой диагностики - АЛЬФИЯ ФРАНСЕВНА КАШАПОВА. Прием по акции проводится в филиале на ул.Генерала Кусимова, 15/1 (Дема, мкр.Серебряный ручей).   Телефон для справок и записи на прием 8 800 775 6969.     *обследование женщинам рекомендуется проводить в первой фазе цикла, сразу после окончания мес., т.е. на 5-11 день. ;;
